Instance_Name,Raw_Text_Path,N_Jobs,N_Machines,Time_Limit_s,Seed,Winner_Key,GECODE_FF_Runtime_s,GECODE_FF_Makespan,GECODE_FF_Wall_s,CHUFFED_IO_Runtime_s,CHUFFED_IO_Makespan,CHUFFED_IO_Wall_s,CPSAT_FF_Runtime_s,CPSAT_FF_Makespan,CPSAT_FF_Wall_s,CBC_DEF_Runtime_s,CBC_DEF_Makespan,CBC_DEF_Wall_s,SCIP_DEF_Runtime_s,SCIP_DEF_Makespan,SCIP_DEF_Wall_s,HIGHS_DEF_Runtime_s,HIGHS_DEF_Makespan,HIGHS_DEF_Wall_s,CPLEX_DEF_Runtime_s,CPLEX_DEF_Makespan,CPLEX_DEF_Wall_s,GUROBI_DEF_Runtime_s,GUROBI_DEF_Makespan,GUROBI_DEF_Wall_s,Image_Npy_Path
GEN_10x10_1,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_1.dzn,10,10,180,1,CPLEX_DEF,15.437,171.0,15.437,1.875,171.0,1.875,7.761,171.0,7.761,180.0,185.0,211.174,19.871,171.0,19.871,14.714,171.0,14.714,1.354,171.0,1.555,3.095,171.0,3.095,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_1_image.npy
GEN_10x10_1,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_1.dzn,10,10,360,1,CPLEX_DEF,14.532,171.0,14.532,1.893,171.0,1.893,7.426,171.0,7.426,360.0,183.0,414.759,19.949,171.0,19.949,14.744,171.0,14.744,1.345,171.0,1.504,3.096,171.0,3.096,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_1_image.npy
GEN_10x10_1,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_1.dzn,10,10,540,1,CPLEX_DEF,14.53,171.0,14.53,1.905,171.0,1.905,7.413,171.0,7.413,540.0,183.0,632.711,20.338,171.0,20.338,15.031,171.0,15.031,1.369,171.0,1.539,3.151,171.0,3.151,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_1_image.npy
GEN_10x10_2,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_2.dzn,10,10,180,1,CPLEX_DEF,14.674,171.0,14.674,1.86,171.0,1.86,7.571,171.0,7.571,180.0,185.0,200.266,19.596,171.0,19.596,14.516,171.0,14.516,1.338,171.0,1.498,3.167,171.0,3.167,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_2_image.npy
GEN_10x10_2,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_2.dzn,10,10,360,1,CPLEX_DEF,14.725,171.0,14.725,2.123,171.0,2.123,7.645,171.0,7.645,360.0,183.0,408.341,20.512,171.0,20.512,15.123,171.0,15.123,1.374,171.0,1.539,3.135,171.0,3.135,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_2_image.npy
GEN_10x10_2,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_2.dzn,10,10,540,1,CPLEX_DEF,14.649,171.0,14.649,1.886,171.0,1.886,7.404,171.0,7.404,540.0,183.0,617.178,20.414,171.0,20.414,14.907,171.0,14.907,1.363,171.0,1.516,3.137,171.0,3.137,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_2_image.npy
GEN_10x10_3,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_3.dzn,10,10,180,1,CPLEX_DEF,14.83,171.0,14.83,1.895,171.0,1.895,7.462,171.0,7.462,180.0,185.0,205.55,20.113,171.0,20.113,14.747,171.0,14.747,1.351,171.0,1.537,3.115,171.0,3.115,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_3_image.npy
GEN_10x10_3,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_3.dzn,10,10,360,1,CHUFFED_IO,14.571,171.0,14.571,1.845,171.0,1.845,7.307,171.0,7.307,360.0,183.0,1308.772,47.743,171.0,47.743,40.467,171.0,40.467,3.579,171.0,3.885,8.219,171.0,8.219,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_3_image.npy
GEN_10x10_3,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_3.dzn,10,10,540,1,CPLEX_DEF,44.293,171.0,44.293,5.692,171.0,5.692,21.633,171.0,21.633,540.0,184.0,618.326,38.412,171.0,38.412,27.806,171.0,27.806,2.087,171.0,2.312,5.421,171.0,5.421,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_3_image.npy
GEN_10x10_4,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_4.dzn,10,10,180,1,CPLEX_DEF,25.687,171.0,25.687,3.354,171.0,3.354,14.432,171.0,14.432,180.0,185.0,206.51,37.18,171.0,37.18,29.152,171.0,29.152,2.394,171.0,2.632,5.513,171.0,5.513,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_4_image.npy
GEN_10x10_4,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_4.dzn,10,10,360,1,CPLEX_DEF,26.185,171.0,26.185,3.054,171.0,3.054,12.532,171.0,12.532,360.0,183.0,399.272,23.714,171.0,23.714,17.057,171.0,17.057,1.596,171.0,1.756,3.656,171.0,3.656,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_4_image.npy
