Instance_Name,Raw_Text_Path,N_Jobs,N_Machines,Time_Limit_s,Seed,Winner_Key,CBC_DEF_Runtime_s,CBC_DEF_Makespan,CBC_DEF_Wall_s,SCIP_DEF_Runtime_s,SCIP_DEF_Makespan,SCIP_DEF_Wall_s,HIGHS_DEF_Runtime_s,HIGHS_DEF_Makespan,HIGHS_DEF_Wall_s,CPLEX_DEF_Runtime_s,CPLEX_DEF_Makespan,CPLEX_DEF_Wall_s,GUROBI_DEF_Runtime_s,GUROBI_DEF_Makespan,GUROBI_DEF_Wall_s,Tensor_Npy_Path,Image_Npy_Path
GEN_4x4_1,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/GEN_4x4_1.dzn,4,4,5,1,CPLEX_DEF,0.041,78.0,0.21,0.012,78.0,0.692,0.012,78.0,0.166,0.01,78.0,0.189,0.113,78.0,0.163,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy
GEN_4x4_1,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/GEN_4x4_1.dzn,4,4,5,2,CPLEX_DEF,0.04,78.0,0.18,0.012,78.0,0.755,0.011,78.0,0.162,0.005,78.0,0.135,0.106,78.0,0.143,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy
GEN_4x4_1,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/GEN_4x4_1.dzn,4,4,5,3,CPLEX_DEF,0.04,78.0,0.178,0.01,78.0,0.704,0.011,78.0,0.193,0.005,78.0,0.143,0.126,78.0,0.28,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy
GEN_4x4_1,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/GEN_4x4_1.dzn,4,4,30,1,CPLEX_DEF,0.04,78.0,0.196,0.011,78.0,0.699,0.011,78.0,0.156,0.005,78.0,0.148,0.107,78.0,0.144,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy
GEN_4x4_1,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/GEN_4x4_1.dzn,4,4,30,2,CPLEX_DEF,0.041,78.0,0.18,0.009,78.0,0.738,0.011,78.0,0.148,0.005,78.0,0.134,0.105,78.0,0.135,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy
GEN_4x4_1,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/GEN_4x4_1.dzn,4,4,30,3,CPLEX_DEF,0.04,78.0,0.179,0.011,78.0,0.675,0.011,78.0,0.145,0.005,78.0,0.152,0.106,78.0,0.137,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy
GEN_4x4_1,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/GEN_4x4_1.dzn,4,4,60,1,CPLEX_DEF,0.038,78.0,0.174,0.009,78.0,0.662,0.011,78.0,0.151,0.005,78.0,0.145,0.106,78.0,0.136,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy
GEN_4x4_1,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/GEN_4x4_1.dzn,4,4,60,2,CPLEX_DEF,0.038,78.0,0.165,0.011,78.0,0.663,0.011,78.0,0.149,0.005,78.0,0.15,0.107,78.0,0.142,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy
GEN_4x4_1,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/GEN_4x4_1.dzn,4,4,60,3,CPLEX_DEF,0.038,78.0,0.179,0.011,78.0,0.698,0.011,78.0,0.153,0.005,78.0,0.145,0.108,78.0,0.14,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_1_tensor.npy
GEN_4x4_2,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/GEN_4x4_2.dzn,4,4,5,1,CPLEX_DEF,0.039,78.0,0.232,0.011,78.0,0.721,0.011,78.0,0.138,0.005,78.0,0.151,0.105,78.0,0.14,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_2_tensor.npy,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_tensors/images/GEN_4x4_2_tensor.npy
